Item_No_Serviced,Failure_Date,Sale_Date,Suma elementów Time_To_Failure (month),Serial_No_Serviced
MI/MOBA02-09HFN1-Q_H,2019-03-31 00:00:00,2023-03-01 00:00:00,-94.02,2412148590268090130071
MI/MOB0112HFN8QRD6GW,2017-06-30 00:00:00,2021-05-19 00:00:00,-46.62,2413276750473210130050
MDVV260WDRN1,2016-06-21 00:00:00,2018-05-21 00:00:00,-45.92,C701451471416402400001
MDVV260WDRN1,2016-06-22 00:00:00,2018-05-21 00:00:00,-45.86,C701451471416402400001
M/MOF-24HFN1-QD0,2015-08-10 00:00:00,2019-03-25 00:00:00,-43.46,D212322500815115150010
MDV450(16WD1RN1C,2014-08-18 00:00:00,2016-02-26 00:00:00,-36.6,C703137681113107400005
M/MOFU-24HFN1-QD0,2015-10-12 00:00:00,2018-10-05 00:00:00,-35.78,D210059140215325150007
MD/MI-280T1/DHN1-B,2019-03-31 00:00:00,2021-12-09 00:00:00,-32.33,C703260441316124400005
PUHZ-SHW140YHA,2013-12-10 00:00:00,2016-07-22 00:00:00,-31.37,L7HJN09S22U01222
MD/MOU60HDN1R,2016-10-21 00:00:00,2019-03-19 00:00:00,-28.88,2400865790861230160024
MD/MOU60HDN1R,2016-10-26 00:00:00,2019-03-19 00:00:00,-28.71,2400865790861230160024
MKD400S,2015-11-19 00:00:00,2018-02-21 00:00:00,-27.1,C703183100414423400030
MD/MOX33018HFN8QRD0N,2023-06-06 00:00:00,2025-07-30 00:00:00,-25.79,540H852690132120830045
MDVV260WDRN1,2016-06-20 00:00:00,2018-05-21 00:00:00,-23,C701451471416402400001
MX/NXP-25CPO1-CA,2023-08-31 00:00:00,2024-07-16 00:00:00,-21.02,340A1919101051502I0021
MX/NXP-35APO1-CA,2017-09-04 00:00:00,2019-06-04 00:00:00,-20.96,2403541890474200200004
M/MOZU-12HFN1-QD0,2015-06-18 00:00:00,2016-04-26 00:00:00,-20.56,D212322290315112150035
MI/M3OE-27HFN1-Q,2016-07-20 00:00:00,2018-03-05 00:00:00,-19.48,2411657690265180160001
M/MOB30U-18HFN1-QRD0,2016-05-31 00:00:00,2018-01-12 00:00:00,-19.42,2410878280261300150010
M/MI-22G/DHN1-M,2017-09-14 00:00:00,2018-06-28 00:00:00,-18.86,C703875170117612400117
M/MSMBDU-24HRFN1-QD0,2016-04-25 00:00:00,2017-11-15 00:00:00,-18.69,D210058950715319120042
MX/NXP-35APO1-CA,2017-09-04 00:00:00,2019-03-25 00:00:00,-18.63,2403541890474200200004
MI/M2OE-18HFN8-Q,2023-08-31 00:00:00,2025-02-27 00:00:00,-17.94,540G168390226050150055
PAC-IF051B-E,2015-05-15 00:00:00,2016-11-10 00:00:00,-17.9,7H1FTC4G 3H00672
M/MOD30U-30HFN1-QRD0,2018-04-18 00:00:00,2019-08-14 00:00:00,-15.87,2413972770477250160005
MSR2412HRDN1C8,2016-02-19 00:00:00,2017-06-07 00:00:00,-15.57,D200101970315504120097
MD/UNVS-18R32INT-OU,2023-07-31 00:00:00,2024-03-20 00:00:00,-15.3,340D961560517230120002
MDVD22Q4/N1-A3,2015-08-28 00:00:00,2016-09-19 00:00:00,-12.75,C703226361015511400001
MD/MFAU12HRFN1QRDAW,2019-03-31 00:00:00,2020-03-17 00:00:00,-11.56,2403566250176230160010
